actual_category,predicted_position,skills,education,experience,companies,id
PMO,PMO,"Exceptional communication and networking skills, team player, independent worker, ability to work under pressure, multi-tasking, Strategies & Campaigns, Corporate Communications, MIS Reporting & Documentation, Training & Development, Sales Support & Back Office Operations, New Process Development & Launch, Handling customer escalations, Process re-engineering, Project Management, Documentation, Training, Scope definition, Project charter preparation, Business Requirement Document (BRD), Understanding Document (UD), UAT, Deployment, SLAs, SOPs, Sales driving, Call center operations, Sales promotional activities, Call barging, Client interaction, Call quality sessions, Adhoc requirements handling.",BACHELOR OF BUSINESS ADMINISTRATION (BUSINESS ADMINISTRATION) from ICFAI Business School; HIGHER SECONDARY SCHOOL from B.I.S.S School; SENIOR SECONDARY SCHOOL from Delhi Public School; MASTER OF BUSINESS ADMINISTRATION.,"Experienced Senior Manager - PMO with a strong background in process re-engineering, project management, and corporate communications. Proven ability to identify and implement process improvements, manage project lifecycles from scope definition to deployment, and develop training materials. Possesses experience in sales driving through call centers, implementing sales promotional activities, and client interaction. Skilled in documentation, training, and handling customer escalations.",,926
PMO,PMO,"Project Management, Risk Management, Software Development Lifecycle (SDLC), Data Analysis, Reporting, Governance, Documentation, MS Office, Macros, Strategic thinking, Decision making, Analytical skills, Multi-tasking, Leadership, Inter Personal Skills, Information management, MS Excel (extraction, formulae, pivots, graphs), Team handling, Quality Analyst, Forecasting","Bachelor of Business Administration, Pune, Maharashtra, Modern College (January 2005); HSC, Pune, Maharashtra, S.S.P.M.S College; SSC, Pune, Maharashtra, Saints High School","6 years of experience in Project Management in IT, with expertise in PMO, Team handling, and Quality Analysis. Proficient in Data Analyzing tools and techniques. Experience includes establishing and leading PMOs, managing transitions, leading teams, stakeholder engagement, financial performance tracking, risk management, and report automation. Worked at Capita India Pvt ltd, Saviant Technologies, and Infosys.",,927
PMO,PMO,"PMO, ITIL Management, Process Improvements, Project Process Audits, Planning, Scheduling, Effort/Issue/Risk Tracking, Risk & Issue Management, SLA Management, Workforce (staffing) Resource Management, Transition, Operations management, CA Clarity, Visio, Microsoft Office, SAP-HR, MRS, CPRO, Confluence, MS Excel, MS Project, Sharepoint Reporting, Xtraction, CA Service Desk, I-Tracker, Recruitment, Billing efficiency, Resource Utilization, Report generation, Stakeholder communication, SOP development, Project Cost Management, Budget Management, Revenue Management, Milestone Progress, Headcount management, Bench management, Tenure management, Rookie Ratio management, Workforce Management, Account management, Staff scheduling","MBA HR and Finance, RKIMS College, Bengaluru, Karnataka","10+ years of experience in PMO, ITIL Management, Process Improvements, Project Process Audits, Planning, Scheduling, Effort/Issue/Risk Tracking, Risk & Issue Management, SLA Management, Workforce (staffing) Resource Management, Transition, and Operations management. Held Senior Executive PMO Consultant roles at Ensono LLP and Wipro Technology. Responsibilities included creating structured reports, designing various business reports, managing MOMs, assisting Project Managers with invoicing and billing, maintaining Clarity and Sharepoint data, performing customer invoicing, preparing SLA and KPI data, managing project implementation, handling various delivery models (Managed Services, Fixed Price, T&M, SLA based Risk and Penalty), driving SLA calls, acting as SPOC for time on floor analysis, ensuring compliance, managing joining formalities and onboarding, identifying and driving key metrics (Billing efficiency, Resource Utilization), maintaining project libraries, monitoring project progress, developing flow charts/SOPs, preparing various monthly and quarterly reports, creating project/sub-project plans, monitoring progress, maintaining risk & issue logs, participating in project management communities, and managing Project Cost, Schedule, Budget, Revenue & Milestone Progress. At Wipro InfoTech, responsibilities included monitoring and managing headcount, maintaining correct tagging in SAP, providing accurate headcount reports, managing bench and tenure, hiring and tracking Rookie Ratio, analyzing staffing patterns, validating headcount plans, tracking WFM data, identifying resources for training and elevation, interfacing with Service Delivery Managers, coordinating with Operations stakeholders, managing staff schedules, preparing daily/weekly/monthly reports, managing staffing ratios and seat utilization, and handling special projects.",,928
PMO,PMO,"Exceptional communication and networking skills, team player, independent worker, ability to work under pressure, multi-tasking, Strategies & Campaigns, Corporate Communications, MIS Reporting & Documentation, Training & Development, Sales Support & Back Office Operations, New Process Development & Launch, Handling customer escalations, Process re-engineering, Project Management, Documentation, Training, Scope definition, Project charter preparation, Business Requirement Document (BRD), Understanding Document (UD), UAT, Deployment, SLAs, SOPs, Sales driving, Call center operations, Sales promotional activities, Call barging, Client interaction, Call quality sessions, Adhoc requirements handling.",BACHELOR OF BUSINESS ADMINISTRATION (BUSINESS ADMINISTRATION) from ICFAI Business School; HIGHER SECONDARY SCHOOL from B.I.S.S School; SENIOR SECONDARY SCHOOL from Delhi Public School; MASTER OF BUSINESS ADMINISTRATION.,"Experienced Senior Manager - PMO with a strong background in process re-engineering, project management, and corporate communications. Proven ability to identify and implement process improvements, manage project lifecycles from scope definition to deployment, and develop training materials. Possesses experience in sales driving through call centers, implementing sales promotional activities, and client interaction. Skilled in documentation, training, and handling customer escalations.",,929
Database,Database,"SQL, SQL Server 2014/2017, PostgreSQL 9.5/9.6, Oracle 11gR2, Redhat Linux, Oracle Linux, Windows Server 2012/2016, Database Administration, Backup & Recovery, Cloning, RMAN, Flashback Technologies, Expdp/Impdp, Oracle RAC, Data Guard, Patching, Communication, Adaptability, Teamwork, Problem Solving, Postgresql Administration, MSSQL Administration, High Availability (HA), Disaster Recovery (DR), Replication, Linked Servers, Security Management, SAN, RAID, Always-On Availability Groups (AAG)","B.E Computer Engineering from Mumbai University, Higher Secondary Certificate from Dr. DY Patil Jr College","Database Administrator at Marketplace Technologies Ltd (Project Titles: EBoss, Datafeed, MFDB, RTRMS, IndiaINX). Experience with Redhat Linux 7.4, Postgresql 9.5/9.6 at Standard & Enterprise (Feb 2017 - present), focusing on HA with Pacemaker, Postgresql installation/configuration, backup/restore, logical replication, and troubleshooting. Also, extensive experience with MSSQL administration, including day-to-day tasks, PR/DR activities, transactional replication, SQL Server 2014/2017 installation/configuration, security management, service pack upgrades, and managing SQL Clusters with Always-On Availability Groups. Experience at BSE Bombay Stock Exchange with Windows server 2008 R2, 2012 R2, 2016 Enterprise & Standard.",,930
Database,Database,"Microsoft Window Server 2003/2008/2008 R2/2012, SQL Server, Sybase ASE Server, Oracle, MongoDB, HP Service Manager 7.0/9.0, Solar winds DPA, JIRA, MongoDB OPS manager, IIS 7.0, SSMS, DBArtisan, Studio 3T, SnapShot Manager for SQL Server, SSRS, SSIS, Database Administration, Performance Tuning, Disaster Recovery, High Availability (Log Shipping, AlwaysOn, Mirroring), PowerShell Scripting, Customer Interaction, Escalation Management, Security Auditing, Backup and Recovery, Database Migration, TNS entries, Clone Management (smsql)","B. Tech Computer Science, PDACOE, Gulbarga, Karnataka","Database Administrator III at BNY Mellon International Operations (India) PVT. LTD. (Installation, configuration, maintenance, migration, performance troubleshooting, DR tests, automation of SQL Server, MongoDB, Oracle & Sybase; worked on SSRS, SSIS, user management, vendor support). Database Administrator II at Hewlett-Packard India Sales PVT. LTD. On the payroll of Softenger India PVT. LTD. (SQL Server installation, security audit, maintenance plans, monitoring, high availability, DR drills, PowerShell scripting, Oracle client support, customer interaction).",,931
Database,Database,"MS SQL Server 2016/2014/2012/2008 R2/2008, Oracle 10g, Netezza, Microsoft Azure, Always On Availability Group, Database Mirroring, Performance Tuning, Log Shipping, Installation, Upgrade, Migration, Patching, SSMS, Upgrade Advisor, SQL Server Profiler, SCOM, Diagnostic Manager, Remedy, Jira, Infopacc, Tivoli TDP backup tool, SQL Pack, Incident Management, Change Management, Problem Management, DR activity, Service Improvement Plans, RCA, Clustering, Resource & Shift Management, KT, Mentoring, Core Java, PostgreSQL","Masters of Science Computer Science, Indira College, Pune University","11 years of experience in database administration on MS SQL Server, including installation, configuration, administration, performance tuning, and high availability solutions (Always On, mirroring, log shipping, clustering). Experience with Microsoft Azure, incident/change/problem management, and team leadership. Also has experience with Oracle and Netezza databases, and some background in Java and PostgreSQL.",,932
Database,Database,"Oracle DBA, MySQL, MariaDB, PostgreSQL Database Administration, SQL, Oracle 10g, 11g, Windows, Linux, Putty, Database management, Database recovery, Backup/Recovery, IMPORT/EXPORT, Schema design, Performance tuning, Installation, Configuration, Updating Oracle server software, Maintaining tablespaces, Data files, Control files, Online Redo log files, User management, RMAN Backups, Incremental/cumulative/full RMAN backup, Logical Backup, Export/Import/datapump, Trace/alert log monitoring, Incident resolution (User creation/deletion, backup failures), Listener Status checking, Connectivity Troubleshooting, DDL & DML script execution, Mentoring, Coaching, Project Documentation, Reporting, Quality compliance, Project management, Security policies, Change management, Instance/DB monitoring, Tablespace monitoring, Background process monitoring, Recruitment, Communication, Problem-solving","MCS - Pune University, Pune, Maharashtra (January 2018)","Database Administrator at Infiniteworx Omnichannel Pvt. Ltd (Sept 2017 - Present): Responsible for creating tablespaces, planning data location, monitoring growth, replication setup, moving database schema changes, DBA support, query resolution, user creation/privileges, database management, recovery, data file movement, backup policy planning, backup/recovery, IMPORT/EXPORT, schema design. Key Result Areas include 24/7 support for performance issues, job failures, session diagnosis, root cause analysis; installation/configuration/updating Oracle, MySQL, SQL Server, MariaDB, MongoDB; supporting multiple databases (production, development, test); maintaining tablespaces, data files, control files, redo log files; user/role/privilege management; RMAN backups (scheduling, incremental, cumulative, full); logical backups (Export/Import/datapump); monitoring trace/alert logs; incident resolution; listener status/connectivity troubleshooting; DDL/DML execution; mentoring/coaching team members; project documentation/reporting; quality compliance; project activities; security policy implementation; change management; verifying instance/DB status, tablespace online status, background processes. Also worked with InnovativeTechnologies with clients in the Banking Domain.",,933
Database,Database,"MySQL DBA, Centos, Backup, Restore, Replication, Query Optimization, MySQL Installation, maintenance and Upgrades (Version 5.5, 5.6), Linux, Windows, security management, query analysis, Database Maintenance Plans, scripting, MYISAM to INNODB engine, Server shifting, tuning parameter, database purging, MySQL master-slave Replication, Release management, user acceptance, xtrabackup, monitoring, 24/7 production database support.","BSc. from Mumbai University (January 2016), H.S.C. from Maharashtra Board (January 2013), S.S.C. from Maharashtra Board (January 2011).","2+ years of experience as a MySQL Database Administrator at Trimax IT Infrastructure & Services Ltd. Responsibilities included MySQL installation, maintenance, upgrades, database administration on large-scale installations, working with MySQL on Linux and Windows, security management, query optimization and analysis, structural database changes, creating and maintaining database maintenance plans, scripting for backup and restore, engine conversions (MYISAM to INNODB), server shifting, tuning parameters, database purging, master-slave replication, release management, user acceptance, xtrabackup restores, and monitoring daily, weekly, and monthly system maintenance tasks. Provided 24/7 production database support.",,934
Database,Database,"LINUX, Windows Server 2012 R2, SQL* Loader, SQL*PLUS, OEM, Datapump, expdp/impdp, PLSQL Developer, Jenkins, Oracle 10g, Oracle 11g, Oracle 12c, UNIX Shell Scripting, SQL, Oracle Database Administration 11g R2, 12c, 18c, RMAN, AWS (EC2, S3, RDS, ELB, EBS, VPC, Route53, Auto, Cloudwatch, Cloud Front, IAM), Data Pump, NETMGR, NETCA, AWR, ASH, ADDM, Performance Tuning, Space Management, Troubleshooting, 24x7 Support, Coordination with Teams","M.B.A. from Amravati University (Jan 2011), B.C.A. from Nagpur University (Jan 2007)","4 years of experience as an Oracle Database Administrator on Linux/Microsoft platforms. Responsibilities include Oracle Database Administration (11g R2, 12c, 18c), 24x7 support, monitoring (trace files, alert logs, CPU, IO, memory), RMAN backup and restore, installation and configuration of Oracle software, database creation, user management, performance analysis (AWR, ASH, ADDM), space management, data pump export/import, listener and network file management, and experience with AWS cloud services for server migration and troubleshooting.",,935
Database,Database,"Oracle RDBMS (10g, 11g, 12c), Data Pump, RMAN, Data Guard, ASM, RAC, Golden Gate, OCC, PUTTY, SQLPLUS, SQL Developer, Netbackup, SCOM, SCCM, VMWare Vsphere, RHEL 6.0, RHEL 6.5, UNIX, Microsoft Windows, Database Management, Capacity Management, Incident Management, Database Patching, Database Upgrade, Active Data Guard, Tablespace Management, User Access Management, Data Import/Export, Inventory Management, Test Environment Refresh, Oracle Support, Database Backup, Database Cloning, ITIL Process, Change Management, RCA, Impact Analysis, Server Management, On-call Support, Database Creation, Log Monitoring, VM Server Creation, OS Backup, User Account Management, Data Center Migration, Physical Standby Database, Server Cloning","Bachelor of Engineering (B.E.) in Computer Science and Engineering from SGBAU Amravati University, Amravati (2014)","Experienced Database Administrator with 2 years at BNY Mellon, managing critical production, pre-production, test, and reporting databases. Responsibilities included database management, capacity management, upgrades, incident management, database building, patching, upgrades (11g to 12c), ASM disk group management, Active Data Guard setup, Data Guard management, tablespace issues, user access, data import/export, inventory maintenance, test environment refresh, Oracle support liaison, RMAN backup/cloning, ITIL process adherence, and reporting. Previously at Brose India, managed internal databases and servers, provided 24x7 on-call support, performed daily DBA activities, database creation/patching, backup/recovery, log monitoring, VM server creation, Windows server patching, OS backup monitoring, and user account management. Also involved in an onsite Data Center Migration project, including Oracle 11g installation, service request handling, user management, RMAN configuration, database patching, Data Guard configuration, and server cloning.",,936
Database,Database,"MS SQL SERVER 2000/2005/2008/2012/2014, WINDOWS XP/7, WINDOWS SERVER 2008/12, MS Office 03/07, SSMS, Performance Monitor, SQL Profiler, SQL Lite Speed, RDBMS, Database Administration, Log Shipping, Replication, Mirroring, Always On, High Availability, Clustering, Performance Tuning, Database Backup/Restore, Disaster Recovery, Query Tuning, Stored Procedures, Maintenance Plans, SQL Server Security, DTS packages, Index Management, Linked Servers, Database Mail, Troubleshooting, Incident Resolution, Call Support, DR Testing, Change Management.",B.Sc. Maths from Kakatiya University Board,"120 months experience in DATABASE, 72 months in DATABASE ADMINISTRATOR, 48 months in MAINTENANCE, MS SQL SERVER, and REPLICATION. Worked as Database Administrator Support at Barclays Technology Centre India, focusing on global database issue resolution, alert management, log shipping, blocking/locking issues, replication, Always On, and access provisioning. Previously worked at Barclays Global Services Centre on SQL server database implementation and maintenance, Wipro Infotech Pvt Ltd as a SQL server database administrator, and CITI Bank (via Accord Fintech) as Database Support. Extensive experience in database backup/recovery, data consistency, query/performance tuning, DR processes, job scheduling/monitoring, maintenance plans, security implementation, linked servers, database mail, DTS packages, and index management.",,937
Database,Database,"Oracle Databases 12c, 11g, 10g, Weblogic 12c, 11g, Grid Infrastructure, RMAN, ASM, Middleware (OIM, OAM, SOA), Shell Scripts, DataGuard, Web servers (OHS, Apache), Architecture Designs, Proof of Concepts, DevOps, Database Administration, Capacity Planning, Performance Monitoring & Tuning, Backup & Recovery, High Availability Solutions, Scripting Automation, Troubleshooting, Incident Management, Service Requests, Upgrades, Patching, Security (roles and privileges), WebLogic platform management, Web server management (OHS, Apache, Tomcat), Integration Layer (SMTP, ftp, Reverse Proxy, OCM), Business Continuity Planning, SLAs, Capacity Reporting, Work Orders, Cloning Procedures, Infrastructure Changes (FW Openings, LoadBalancer), Quality Management, Housekeeping Operations, Scheduling Tasks","Bachelor of Engineering in Information Technology from Walchand College (January 2007), Diploma in Computer Engineering from Govt. Polytechnic (January 2004)","Lead Database Administrator at Tieto Software with extensive experience in database administration, middleware management, and application operations. Responsibilities included maximizing application availability, presenting Proof of Concepts, delivering upgrades, handling P1/P2 issues, generating capacity reports, designing databases, planning RMAN backup/recovery, executing Business Continuity Testing, implementing high availability solutions, optimizing performance through automation, establishing cloning procedures, troubleshooting middleware issues, contributing to integration layer build/maintenance, providing database support across environments (PROD, UAT, TEST, DEV), performing database refresh/cloning, upgrading/patching databases, assigning roles/privileges, generating/maintaining Middleware schemas, supporting/maintaining WebLogic platform, and managing web servers (OHS, Apache, Tomcat). Previously at HSBC Software, handled day-to-day database administration tasks, basic implementation services (installation, patching, upgrades), capacity planning, quality maintenance (instances, indexes, re-organization, performance monitoring/tuning), backup/recovery (logical, datapump, cold, hot, RMAN, RMAN Duplication), automation via shell scripts, and implemented high availability solutions (Dataguard).",,938
Database,Database,"Installation of Oracle on RH Linux & Windows, Creating/Managing user profiles, Analyzing privileges and tablespace quotas, Backup and Recovery of database (Logical, Physical, RMAN), Space management, Rollback segments, Extents, Database Management and Monitoring, Willingness to learn, Constructive team member, Oracle 11g, 12c, Database Up-gradation, Installation of Database critical patches, Cold and hot backups, Export/Import dump, Automating daily activities (cronjobs, shell scripts, schedulers), Plan of Actions, Raising SR with Oracle Support, Handling User’s request, Client interaction, Monitoring & managing database growth, tablespaces, adding, resizing and renaming datafiles, Restoration of database using RMAN, Migration of Database (export/import, RMAN), Configuring & managing Physical Standby database, Creating database links, Tablespaces, database directories, Managing network settings (listener.ora, tnsnames.ora), Restoration of data using old logical backup, Schema replication (data pump), EXPDP, SCP ticketing tool, Index Rebuilding, Stats gather, Troubleshooting performance issues, Setting up new database environments, Adding/Deleting disks in ASM, Monitoring ASM diskgroups, Creating users & privileges, Database online and offline re-organization, Migrating database from Non-ASM to ASM, Grid up-gradation, Oracle software installation (graphical/silent), Database upgrade, Patch upgrade, Maintaining UAT, Production, Standby/DR DB servers, Managing/creating DR & standby servers, DB sync, Backup and recovery (RMAN/Datapump), Switchover and failover, Allocating system storage, Planning future storage requirements, Enrolling users, Maintaining system security, Monitoring Alert log, Snap ID generation, db size, Server space, OEM reports, User validity, Controlling and monitoring user access, Scheduling shell scripts/dbms_jobs (Crontab, DBMS_SCHEDULER), Managing production database for Oracle and SQL Server, Resizing space (database/Datafiles/Tablespace/Transactional Logs), Managing Temp and Undo tablespaces, Creating primary database storage structures.","Bachelor of science Information technology, Mumbai University, May 2011 - May 2014","48 months of experience as a Database Administrator. At Accelya Kale Solutions Ltd, worked in a 24*7 support environment maintaining Oracle 11g and 12c databases, performing upgrades, patch installations, backups (cold/hot), data imports, automation via scripting, and handling client requests. Key responsibilities included database growth management, RMAN restorations, database migrations, standby database configuration, and troubleshooting performance issues. At Insolutions Global Ltd, focused on Oracle software installation, database upgrades, patch upgrades, and managing a large number of UAT, production, and standby/DR database servers. Responsibilities also included backup and recovery (RMAN/Datapump), switchover/failover, storage allocation, security management, monitoring various database metrics, and scheduling tasks.",,939
Database,Database,"SQL, Oracle v10, v11, v12, R programming, Python, linear regression, machine learning, statistical modelling techniques, Multitasking, client SLA management, handling sensitive clients, team player, Excellent communication skills, quick learner, Leadership qualities, team networking, proactive problem-solving, capacity planning, installation, configuration, database design, migration, security, troubleshooting, backup, data recovery, Linux platform, data elicitation, business request handling, production issue resolution, team leadership",Sadvidya Pre-University College (June 2012),"Application Database Administrator-DBMS (Oracle) at IBM India Pvt Ltd (30 months experience with Oracle, SQL, Machine Learning). Responsibilities included using Oracle SQL for data storage and organization (capacity planning, installation, configuration, database design, migration, security, troubleshooting, backup, data recovery), working with Oracle v10, v11, v12 on Linux, communicating with clients for data elicitation, handling business requests, resolving production issues within SLA, and leading a team for weekly database server checkouts. Also involved in Business Analytics projects, designing predictive business models using machine learning in R for retail and banking.",,940
Database,Database,"SQL, SQL Server 2014/2017, PostgreSQL 9.5/9.6, Oracle 11gR2, Redhat Linux, Oracle Linux, Windows Server 2012/2016, Database Administration, Backup & Recovery, Cloning, RMAN, Flashback Technologies, Expdp/Impdp, Oracle RAC, Data Guard, Patching, Communication, Adaptability, Teamwork, Problem Solving, Postgresql Administration, MSSQL Administration, High Availability (HA), Disaster Recovery (DR), Replication, Linked Servers, Security Management, SAN, RAID, Always-On Availability Groups (AAG)","B.E Computer Engineering from Mumbai University, Higher Secondary Certificate from Dr. DY Patil Jr College","Database Administrator at Marketplace Technologies Ltd (Project Titles: EBoss, Datafeed, MFDB, RTRMS, IndiaINX). Experience with Redhat Linux 7.4, Postgresql 9.5/9.6 at Standard & Enterprise (Feb 2017 - present), focusing on HA with Pacemaker, Postgresql installation/configuration, backup/restore, logical replication, and troubleshooting. Also, extensive experience with MSSQL administration, including day-to-day tasks, PR/DR activities, transactional replication, SQL Server 2014/2017 installation/configuration, security management, service pack upgrades, and managing SQL Clusters with Always-On Availability Groups. Experience at BSE Bombay Stock Exchange with Windows server 2008 R2, 2012 R2, 2016 Enterprise & Standard.",,941
Database,Database,"Microsoft Window Server 2003/2008/2008 R2/2012, SQL Server, Sybase ASE Server, Oracle, MongoDB, HP Service Manager 7.0/9.0, Solar winds DPA, JIRA, MongoDB OPS manager, IIS 7.0, SSMS, DBArtisan, Studio 3T, SnapShot Manager for SQL Server, SSRS, SSIS, Database Administration, Performance Tuning, Disaster Recovery, High Availability (Log Shipping, AlwaysOn, Mirroring), PowerShell Scripting, Customer Interaction, Escalation Management, Security Auditing, Backup and Recovery, Database Migration, TNS entries, Clone Management (smsql)","B. Tech Computer Science, PDACOE, Gulbarga, Karnataka","Database Administrator III at BNY Mellon International Operations (India) PVT. LTD. (Installation, configuration, maintenance, migration, performance troubleshooting, DR tests, automation of SQL Server, MongoDB, Oracle & Sybase; worked on SSRS, SSIS, user management, vendor support). Database Administrator II at Hewlett-Packard India Sales PVT. LTD. On the payroll of Softenger India PVT. LTD. (SQL Server installation, security audit, maintenance plans, monitoring, high availability, DR drills, PowerShell scripting, Oracle client support, customer interaction).",,942
Database,Database,"MS SQL Server 2016/2014/2012/2008 R2/2008, Oracle 10g, Netezza, Microsoft Azure, Always On Availability Group, Database Mirroring, Performance Tuning, Log Shipping, Installation, Upgrade, Migration, Patching, SSMS, Upgrade Advisor, SQL Server Profiler, SCOM, Diagnostic Manager, Remedy, Jira, Infopacc, Tivoli TDP backup tool, SQL Pack, Incident Management, Change Management, Problem Management, DR activity, Service Improvement Plans, RCA, Clustering, Resource & Shift Management, KT, Mentoring, Core Java, PostgreSQL","Masters of Science Computer Science, Indira College, Pune University","11 years of experience in database administration on MS SQL Server, including installation, configuration, administration, performance tuning, and high availability solutions (Always On, mirroring, log shipping, clustering). Experience with Microsoft Azure, incident/change/problem management, and team leadership. Also has experience with Oracle and Netezza databases, and some background in Java and PostgreSQL.",,943
Database,Database,"Oracle DBA, MySQL, MariaDB, PostgreSQL Database Administration, SQL, Oracle 10g, 11g, Windows, Linux, Putty, Database management, Database recovery, Backup/Recovery, IMPORT/EXPORT, Schema design, Performance tuning, Installation, Configuration, Updating Oracle server software, Maintaining tablespaces, Data files, Control files, Online Redo log files, User management, RMAN Backups, Incremental/cumulative/full RMAN backup, Logical Backup, Export/Import/datapump, Trace/alert log monitoring, Incident resolution (User creation/deletion, backup failures), Listener Status checking, Connectivity Troubleshooting, DDL & DML script execution, Mentoring, Coaching, Project Documentation, Reporting, Quality compliance, Project management, Security policies, Change management, Instance/DB monitoring, Tablespace monitoring, Background process monitoring, Recruitment, Communication, Problem-solving","MCS - Pune University, Pune, Maharashtra (January 2018)","Database Administrator at Infiniteworx Omnichannel Pvt. Ltd (Sept 2017 - Present): Responsible for creating tablespaces, planning data location, monitoring growth, replication setup, moving database schema changes, DBA support, query resolution, user creation/privileges, database management, recovery, data file movement, backup policy planning, backup/recovery, IMPORT/EXPORT, schema design. Key Result Areas include 24/7 support for performance issues, job failures, session diagnosis, root cause analysis; installation/configuration/updating Oracle, MySQL, SQL Server, MariaDB, MongoDB; supporting multiple databases (production, development, test); maintaining tablespaces, data files, control files, redo log files; user/role/privilege management; RMAN backups (scheduling, incremental, cumulative, full); logical backups (Export/Import/datapump); monitoring trace/alert logs; incident resolution; listener status/connectivity troubleshooting; DDL/DML execution; mentoring/coaching team members; project documentation/reporting; quality compliance; project activities; security policy implementation; change management; verifying instance/DB status, tablespace online status, background processes. Also worked with InnovativeTechnologies with clients in the Banking Domain.",,944
Database,Database,"MySQL DBA, Centos, Backup, Restore, Replication, Query Optimization, MySQL Installation, maintenance and Upgrades (Version 5.5, 5.6), Linux, Windows, security management, query analysis, Database Maintenance Plans, scripting, MYISAM to INNODB engine, Server shifting, tuning parameter, database purging, MySQL master-slave Replication, Release management, user acceptance, xtrabackup, monitoring, 24/7 production database support.","BSc. from Mumbai University (January 2016), H.S.C. from Maharashtra Board (January 2013), S.S.C. from Maharashtra Board (January 2011).","2+ years of experience as a MySQL Database Administrator at Trimax IT Infrastructure & Services Ltd. Responsibilities included MySQL installation, maintenance, upgrades, database administration on large-scale installations, working with MySQL on Linux and Windows, security management, query optimization and analysis, structural database changes, creating and maintaining database maintenance plans, scripting for backup and restore, engine conversions (MYISAM to INNODB), server shifting, tuning parameters, database purging, master-slave replication, release management, user acceptance, xtrabackup restores, and monitoring daily, weekly, and monthly system maintenance tasks. Provided 24/7 production database support.",,945
Database,Database,"LINUX, Windows Server 2012 R2, SQL* Loader, SQL*PLUS, OEM, Datapump, expdp/impdp, PLSQL Developer, Jenkins, Oracle 10g, Oracle 11g, Oracle 12c, UNIX Shell Scripting, SQL, Oracle Database Administration 11g R2, 12c, 18c, RMAN, AWS (EC2, S3, RDS, ELB, EBS, VPC, Route53, Auto, Cloudwatch, Cloud Front, IAM), Data Pump, NETMGR, NETCA, AWR, ASH, ADDM, Performance Tuning, Space Management, Troubleshooting, 24x7 Support, Coordination with Teams","M.B.A. from Amravati University (Jan 2011), B.C.A. from Nagpur University (Jan 2007)","4 years of experience as an Oracle Database Administrator on Linux/Microsoft platforms. Responsibilities include Oracle Database Administration (11g R2, 12c, 18c), 24x7 support, monitoring (trace files, alert logs, CPU, IO, memory), RMAN backup and restore, installation and configuration of Oracle software, database creation, user management, performance analysis (AWR, ASH, ADDM), space management, data pump export/import, listener and network file management, and experience with AWS cloud services for server migration and troubleshooting.",,946
Database,Database,"Oracle RDBMS (10g, 11g, 12c), Data Pump, RMAN, Data Guard, ASM, RAC, Golden Gate, OCC, PUTTY, SQLPLUS, SQL Developer, Netbackup, SCOM, SCCM, VMWare Vsphere, RHEL 6.0, RHEL 6.5, UNIX, Microsoft Windows, Database Management, Capacity Management, Incident Management, Patching, Database Upgrades, DR database building, Data Guard Management, Tablespace management, User access management, Importing/Exporting (datapump), Inventory management, Test environment refresh, Oracle Support interaction, RMAN backup/troubleshooting/cloning, ITIL process, Reporting, Service Improvement Plans, Database Migrations, RCA, Impact Analysis, 24x7 on-call support, Monitoring, Database creation, VM server creation/decommissioning, Windows server patching, OS backup monitoring, OS user management, Data Center Migration, Service Requests (Incidents/Change/Request), User privilege management, Physical standby database configuration, Server cloning.","Bachelor of Engineering (B.E.) in Computer Science and Engineering from SGBAU Amravati University, Amravati (2014, CGPA 7.21).","Experienced Database Administrator with a strong background in Oracle RDBMS technologies. At BNY Mellon, managed critical production and pre-production databases, handled day-to-day activities, built new databases, performed patching and upgrades (11g to 12c), managed Data Guard, resolved tablespace issues, and conducted RMAN backups and cloning. Also involved in ITIL processes, reporting, and service improvement. Previously at Brose India, managed internal databases and servers, provided 24x7 on-call support, performed database creation, patching, backups, and refreshes. Participated in a Data Center Migration project, including Oracle 11g installation, user management, RMAN configuration, and server cloning.",,947
Database,Database,"MS SQL SERVER 2000/2005/2008/2012/2014, WINDOWS XP/7, WINDOWS SERVER 2008/12, MS Office 03/07, SSMS, Performance Monitor, SQL Profiler, SQL Lite Speed, RDBMS, Database Administration, Log Shipping, Replication, Mirroring, Always On, High Availability, Clustering, Performance Tuning, Database Backup/Restore, Disaster Recovery, Query Tuning, Stored Procedures, Maintenance Plans, SQL Server Security, DTS packages, Index Management, Linked Servers, Database Mail, Troubleshooting, Incident Resolution, Call Support, DR Testing, Change Management.",B.Sc. Maths from Kakatiya University Board,"120 months experience in DATABASE, 72 months in DATABASE ADMINISTRATOR, 48 months in MAINTENANCE, MS SQL SERVER, and REPLICATION. Worked as Database Administrator Support at Barclays Technology Centre India, focusing on global database issue resolution, alert management, log shipping, blocking/locking issues, replication, Always On, and access provisioning. Previously worked at Barclays Global Services Centre on SQL server database implementation and maintenance, Wipro Infotech Pvt Ltd as a SQL server database administrator, and CITI Bank (via Accord Fintech) as Database Support. Extensive experience in database backup/recovery, data consistency, query/performance tuning, DR processes, job scheduling/monitoring, maintenance plans, security implementation, linked servers, database mail, DTS packages, and index management.",,948
